source,target,weight
CAD for garment manufacturing,create patterns for garments,6
CAD for garment manufacturing,standard sizing systems for clothing,6
create patterns for garments,alter wearing apparel,6
create patterns for garments,apparel manufacturing technology,9
create patterns for garments,coordinate manufacturing production activities,8
create patterns for garments,distinguish accessories,9
create patterns for garments,distinguish fabrics,9
create patterns for garments,evaluate garment quality,6
create patterns for garments,grade patterns for wearing apparel,8
create patterns for garments,inspect wearing apparel products,8
create patterns for garments,make technical drawings of fashion pieces,9
create patterns for garments,manufacturing of made-up textile articles,9
create patterns for garments,manufacturing of wearing apparel,9
create patterns for garments,operate computerised control systems,8
create patterns for garments,operate garment manufacturing machines,9
create patterns for garments,perform process control in the wearing apparel industry,6
create patterns for garments,prepare production prototypes,9
create patterns for garments,standard sizing systems for clothing,11
standard sizing systems for clothing,alter wearing apparel,8
standard sizing systems for clothing,apparel manufacturing technology,8
standard sizing systems for clothing,coordinate manufacturing production activities,8
standard sizing systems for clothing,cut fabrics,7
standard sizing systems for clothing,distinguish accessories,10
standard sizing systems for clothing,distinguish fabrics,10
standard sizing systems for clothing,draw sketches to develop textile articles using softwares,6
standard sizing systems for clothing,evaluate garment quality,6
standard sizing systems for clothing,grade patterns for wearing apparel,8
standard sizing systems for clothing,inspect wearing apparel products,8
standard sizing systems for clothing,make technical drawings of fashion pieces,9
standard sizing systems for clothing,manufacture wearing apparel products,7
standard sizing systems for clothing,manufacturing of made-up textile articles,8
standard sizing systems for clothing,manufacturing of wearing apparel,8
standard sizing systems for clothing,operate computerised control systems,7
standard sizing systems for clothing,operate garment manufacturing machines,8
standard sizing systems for clothing,prepare production prototypes,9
CAD software,adjust engineering designs,10
CAD software,approve engineering design,8
CAD software,create technical plans,11
CAD software,design drawings,12
CAD software,electricity,6
CAD software,engineering principles,12
CAD software,engineering processes,11
CAD software,execute feasibility study,6
CAD software,industrial engineering,6
CAD software,liaise with engineers,6
CAD software,manual draughting techniques,9
CAD software,manufacturing processes,7
CAD software,mathematics,19
CAD software,mechanical engineering,8
CAD software,mechanics,9
CAD software,perform scientific research,9
CAD software,production processes,6
CAD software,provide technical documentation,6
CAD software,read engineering drawings,10
CAD software,technical drawings,18
CAD software,troubleshoot,12
CAD software,use CAD software,26
CAD software,use a computer,7
CAD software,use computer-aided engineering systems,7
CAD software,use technical drawing software,21
adjust engineering designs,CAE software,11
adjust engineering designs,ICT software specifications,7
adjust engineering designs,abide by regulations on banned materials,10
adjust engineering designs,align components,16
adjust engineering designs,analyse test data,19
adjust engineering designs,apply health and safety standards,6
adjust engineering designs,approve engineering design,74
adjust engineering designs,assess environmental impact,7
adjust engineering designs,assess financial viability,8
adjust engineering designs,assist scientific research,15
adjust engineering designs,chemistry,6
adjust engineering designs,circuit diagrams,8
adjust engineering designs,civil engineering,11
adjust engineering designs,computer engineering,6
adjust engineering designs,conduct literature research,13
adjust engineering designs,conduct quality control analysis,13
adjust engineering designs,control engineering,7
adjust engineering designs,create solutions to problems,9
adjust engineering designs,design drawings,33
adjust engineering designs,design prototypes,10
adjust engineering designs,develop electronic test procedures,6
adjust engineering designs,electrical engineering,13
adjust engineering designs,electricity,13
adjust engineering designs,electricity principles,11
adjust engineering designs,electronic equipment standards,7
adjust engineering designs,electronic test procedures,6
adjust engineering designs,electronics,18
adjust engineering designs,energy,8
adjust engineering designs,energy market,6
adjust engineering designs,engineering principles,84
adjust engineering designs,engineering processes,73
adjust engineering designs,ensure compliance with environmental legislation,9
adjust engineering designs,ensure compliance with safety legislation,16
adjust engineering designs,environmental legislation,13
adjust engineering designs,environmental threats,9
adjust engineering designs,examine engineering principles,7
adjust engineering designs,execute analytical mathematical calculations,11
adjust engineering designs,execute feasibility study,14
adjust engineering designs,fasten components,16
adjust engineering designs,hydraulics,6
adjust engineering designs,industrial engineering,20
adjust engineering designs,inspect quality of products,16
adjust engineering designs,liaise with engineers,23
adjust engineering designs,manage engineering project,6
adjust engineering designs,manufacturing processes,22
adjust engineering designs,material mechanics,6
adjust engineering designs,mathematics,35
adjust engineering designs,mechanical engineering,25
adjust engineering designs,mechanics,28
adjust engineering designs,"mining, construction and civil engineering machinery products",10
adjust engineering designs,multimedia systems,6
adjust engineering designs,operate scientific measuring equipment,14
adjust engineering designs,optical components,7
adjust engineering designs,optical engineering,7
adjust engineering designs,optical equipment standards,7
adjust engineering designs,optical glass characteristics,7
adjust engineering designs,optical manufacturing process,7
adjust engineering designs,optics,7
adjust engineering designs,perform data analysis,11
adjust engineering designs,perform scientific research,74
adjust engineering designs,perform test run,8
adjust engineering designs,physics,22
adjust engineering designs,prepare production prototypes,29
adjust engineering designs,production processes,20
adjust engineering designs,provide technical documentation,6
adjust engineering designs,quality standards,11
adjust engineering designs,read assembly drawings,9
adjust engineering designs,read engineering drawings,42
adjust engineering designs,read standard blueprints,7
adjust engineering designs,record test data,32
adjust engineering designs,refractive power,7
adjust engineering designs,report analysis results,13
adjust engineering designs,technical drawings,54
adjust engineering designs,test optical components,7
adjust engineering designs,troubleshoot,23
adjust engineering designs,types of optical instruments,7
adjust engineering designs,use CAD software,11
adjust engineering designs,use a computer,14
adjust engineering designs,use computer-aided engineering systems,6
adjust engineering designs,use technical drawing software,63
approve engineering design,abide by regulations on banned materials,9
approve engineering design,analyse test data,14
approve engineering design,assess environmental impact,7
approve engineering design,assess financial viability,9
approve engineering design,chemistry,6
approve engineering design,civil engineering,10
approve engineering design,conduct literature research,13
approve engineering design,conduct quality control analysis,12
approve engineering design,design drawings,18
approve engineering design,design prototypes,10
approve engineering design,develop electronic test procedures,6
approve engineering design,electrical engineering,10
approve engineering design,electrical power safety regulations,6
approve engineering design,electricity,11
approve engineering design,electricity principles,10
approve engineering design,electronics,10
approve engineering design,energy,8
approve engineering design,energy market,7
approve engineering design,engineering principles,74
approve engineering design,engineering processes,61
approve engineering design,ensure compliance with environmental legislation,10
approve engineering design,ensure compliance with safety legislation,17
approve engineering design,environmental legislation,13
approve engineering design,environmental threats,9
approve engineering design,examine engineering principles,7
approve engineering design,execute analytical mathematical calculations,7
approve engineering design,execute feasibility study,14
approve engineering design,hydraulics,6
approve engineering design,industrial engineering,19
approve engineering design,manage engineering project,6
approve engineering design,manufacturing processes,20
approve engineering design,mathematics,29
approve engineering design,mechanical engineering,21
approve engineering design,mechanics,20
approve engineering design,"mining, construction and civil engineering machinery products",10
approve engineering design,operate scientific measuring equipment,11
approve engineering design,perform data analysis,11
approve engineering design,perform scientific research,76
approve engineering design,physics,16
approve engineering design,prepare production prototypes,14
approve engineering design,production processes,19
approve engineering design,provide technical documentation,6
approve engineering design,quality standards,6
approve engineering design,read engineering drawings,17
approve engineering design,record test data,13
approve engineering design,report analysis results,13
approve engineering design,technical drawings,55
approve engineering design,troubleshoot,13
approve engineering design,use CAD software,9
approve engineering design,use a computer,9
approve engineering design,use computer-aided engineering systems,6
approve engineering design,use technical drawing software,63
create technical plans,design drawings,16
create technical plans,electricity,6
create technical plans,engineering principles,8
create technical plans,engineering processes,7
create technical plans,execute analytical mathematical calculations,6
create technical plans,liaise with engineers,10
create technical plans,manual draughting techniques,11
create technical plans,mathematics,16
create technical plans,read engineering drawings,7
create technical plans,technical drawings,13
create technical plans,use CAD software,12
create technical plans,use CADD software,8
create technical plans,use manual draughting techniques,7
create technical plans,use technical drawing software,16
design drawings,abide by regulations on banned materials,10
design drawings,align components,15
design drawings,analyse test data,12
design drawings,assist scientific research,14
design drawings,circuit diagrams,10
design drawings,computer engineering,6
design drawings,conduct literature research,13
design drawings,conduct quality control analysis,13
design drawings,control engineering,6
design drawings,design prototypes,13
design drawings,develop electronic test procedures,6
design drawings,electrical engineering,12
design drawings,electricity,19
design drawings,electricity principles,11
design drawings,electronic equipment standards,9
design drawings,electronic test procedures,6
design drawings,electronics,21
design drawings,engineering principles,25
design drawings,engineering processes,12
design drawings,environmental legislation,9
design drawings,environmental threats,9
design drawings,execute analytical mathematical calculations,6
design drawings,fasten components,15
design drawings,inspect quality of products,14
design drawings,liaise with engineers,25
design drawings,manual draughting techniques,11
design drawings,mathematics,32
design drawings,mechanical engineering,12
design drawings,mechanics,10
design drawings,operate scientific measuring equipment,13
design drawings,optical components,7
design drawings,optical engineering,7
design drawings,optical equipment standards,7
design drawings,optical glass characteristics,7
design drawings,optical manufacturing process,7
design drawings,optics,7
design drawings,perform data analysis,11
design drawings,perform scientific research,18
design drawings,perform test run,7
design drawings,physics,16
design drawings,prepare production prototypes,28
design drawings,read assembly drawings,8
design drawings,read engineering drawings,32
design drawings,record test data,26
design drawings,refractive power,7
design drawings,report analysis results,13
design drawings,technical drawings,18
design drawings,test optical components,7
design drawings,types of optical instruments,7
design drawings,use CAD software,13
design drawings,use CADD software,8
design drawings,use manual draughting techniques,7
design drawings,use technical drawing software,29
electricity,abide by regulations on banned materials,9
electricity,address problems critically,6
electricity,align components,8
electricity,analyse test data,7
electricity,apply health and safety standards,12
electricity,assemble electrical components,6
electricity,conduct literature research,6
electricity,deal with pressure from unexpected circumstances,7
electricity,design prototypes,9
electricity,electric current,11
electricity,electric generators,8
electricity,electrical discharge,6
electricity,electrical engineering,12
electricity,electrical equipment regulations,7
electricity,electrical power safety regulations,14
electricity,electrical wiring diagrams,7
electricity,electrical wiring plans,21
electricity,electricity principles,13
electricity,electromechanics,16
electricity,electronics,26
electricity,engineering principles,13
electricity,engineering processes,8
electricity,ensure compliance with safety legislation,10
electricity,environmental legislation,9
electricity,environmental threats,9
electricity,fasten components,11
electricity,follow health and safety procedures in construction,12
electricity,hydraulics,6
electricity,impact of geological factors on mining operations,7
electricity,inspect construction supplies,9
electricity,inspect electrical supplies,9
electricity,inspect quality of products,6
electricity,install electrical and electronic equipment,17
electricity,interpret electrical diagrams,6
electricity,liaise with engineers,6
electricity,maintain electrical equipment,11
electricity,manage emergency procedures,8
electricity,manage health and safety standards,8
electricity,mathematics,13
electricity,mechanical engineering,7
electricity,mechanics,29
electricity,mine safety legislation,7
electricity,monitor electric generators,6
electricity,operate scientific measuring equipment,8
electricity,operate soldering equipment,8
electricity,perform data analysis,6
electricity,perform scientific research,11
electricity,perform test run,12
electricity,physics,7
electricity,prepare production prototypes,8
electricity,react to events in time-critical environments,7
electricity,read assembly drawings,6
electricity,read engineering drawings,18
electricity,read standard blueprints,16
electricity,record test data,13
electricity,report analysis results,6
electricity,resolve equipment malfunctions,12
electricity,supervise staff,11
electricity,technical drawings,10
electricity,test electronic units,8
electricity,troubleshoot,27
electricity,use CAD software,6
electricity,use a computer,9
electricity,use measurement instruments,12
electricity,use safety equipment in construction,8
electricity,use technical documentation,13
electricity,use technical drawing software,17
electricity,use testing equipment,10
electricity,wear appropriate protective gear,24
electricity,work ergonomically,14
engineering principles,CAE software,17
engineering principles,ICT software specifications,11
engineering principles,abide by regulations on banned materials,9
engineering principles,analyse test data,19
engineering principles,apply health and safety standards,6
engineering principles,assess environmental impact,7
engineering principles,assess financial viability,14
engineering principles,chemistry,8
engineering principles,civil engineering,14
engineering principles,collaborate with engineers,6
engineering principles,conduct literature research,13
engineering principles,conduct quality control analysis,13
engineering principles,create solutions to problems,9
engineering principles,define technical requirements,16
engineering principles,design prototypes,9
engineering principles,develop electronic test procedures,6
engineering principles,electrical engineering,12
engineering principles,electrical power safety regulations,7
engineering principles,electricity principles,10
engineering principles,electronics,12
engineering principles,energy,8
engineering principles,energy market,7
engineering principles,engineering processes,106
engineering principles,ensure compliance with environmental legislation,12
engineering principles,ensure compliance with safety legislation,18
engineering principles,environmental legislation,13
engineering principles,environmental threats,9
engineering principles,examine engineering principles,8
engineering principles,execute analytical mathematical calculations,24
engineering principles,execute feasibility study,20
engineering principles,hydraulics,6
engineering principles,industrial engineering,19
engineering principles,interpret technical requirements,12
engineering principles,liaise with engineers,16
engineering principles,manage engineering project,17
engineering principles,manufacturing processes,26
engineering principles,material mechanics,8
engineering principles,mathematics,50
engineering principles,mechanical engineering,26
