preferredLabel,cluster_group,cluster_subgroup0,cluster_subgroup1,cluster_subgroup2,cluster_subgroup0_name,cluster_subgroup1_name,cluster_subgroup2_name,node,description
CAD for garment manufacturing,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,CAD for garment manufacturing,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
create patterns for garments,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,create patterns for garments,"Create patterns for garments using pattern making softwares or by hand from sketches provided by fashion designers or product requirements. Create patterns for different sizes, styles, and components of the garments."
standard sizing systems for clothing,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,standard sizing systems for clothing,"Standard sizing systems for clothing developed by different countries. Differences among the systems and standards of different countries, the development of the systems according to the evolution of the shape of the human body and their usage in the clothing industry."
alter wearing apparel,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,alter wearing apparel,Alter wearing apparel repairing or adjusting it to the clients/manufacturing specifications. Perform altering by hand or using equipment.
apparel manufacturing technology,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,apparel manufacturing technology,"Traditional and advanced apparel manufacturing technologies. Technologies including processes, machinery, etc. in order to compile and design pattern requirements, contribute to product costing and finalise assembly sequence and quality assurance criteria."
coordinate manufacturing production activities,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,coordinate manufacturing production activities,"Coordinate manufacturing activities based on production strategies, policies and plans. Study details of the planning such as expected quality of the products, quantities, cost, and labour required to foresee any action needed. Adjust processes and resources to minimise costs."
distinguish accessories,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,distinguish accessories,Distinguish accessories in order to determine differences among them. Evaluate accessories based on their characteristics and their application in wearing apparel manufacturing.
distinguish fabrics,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,distinguish fabrics,Distinguish fabrics in order to determine differences among them. Evaluate fabrics based on their characteristics and their application in wearing apparel manufacturing.
make technical drawings of fashion pieces,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,make technical drawings of fashion pieces,"Make technical drawings of wearing apparel, leather goods and footwear including both technical and engineering drawings. Use them to communicate or to convey design ideas and manufacturing details to pattern makers, technologists, toolmakers, and equipment producers or to other machine operators for sampling and production."
manufacture wearing apparel products,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,manufacture wearing apparel products,"Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
manufacturing of made-up textile articles,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,manufacturing of made-up textile articles,Manufacturing processes in wearing apparel and made-up textiles. Different technologies and machinery involved in the manufacturing processes.
manufacturing of wearing apparel,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,manufacturing of wearing apparel,The  processes used to fabricate wearing apparel and the different technologies and machinery involved in the manufacturing processes.
operate garment manufacturing machines,12-0-11,12,0,11,footwear | leather | textile | good | manufacturing,textile | manufacturing | apparel | wearing | technology,manufacturing | apparel | wearing | textile | garment,operate garment manufacturing machines,"Operate and monitor machines which make miscellaneous wearing apparel articles. Operate and monitor machines that fold cloth into measured length, and measure size of pieces."
